SHOE_NAME,Arch Support,Arch Type,Brand,Cushioning,Flexibility,Forefoot Height (mm),Heel Height (mm),Heel to Toe Drop (mm),MSRP (USD),Pronation,Release Date,Strike Pattern,Terrain,Toebox,Waterproofing,Weight (oz),Widths Available
Hoka Solimar,Neutral,High,Hoka,Firm,Balanced,20.0,26.0,6.0,125.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Road,Narrow,,8.5,"{Standard, Wide}"
Adidas Questar,Neutral,High,Adidas,Balanced,Balanced,22.0,32.0,10.0,75.00,"{Supination, Underpronation, Neutral}",2022,{Heel},Road,Medium,,10.9,"{Standard, Wide}"
Mizuno Wave Inspire 18,Stability,Low,Mizuno,Balanced,Balanced,,,10.5,130.00,{Overpronation},2022,{Heel},Road,Wide,,10.6,{}
New Balance Fresh Foam 1080 v11,Neutral,High,New Balance,Balanced,Semi-Flexible,22.0,30.0,8.0,150.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Road,Wide,,10.1,"{Narrow, Standard, Wide, Extra Wide}"
Adidas Ultra 4D,Neutral,Low,Adidas,Firm,Semi-Flexible,,,,220.00,{Overpronation},2020,{},Road,Narrow,,12.5,{}
Nike ZoomX Invincible Run Flyknit 2,Neutral,High,Nike,Plush,Semi-Flexible,,,10.5,180.00,"{Supination, Underpronation, Neutral}",2022,{Heel},Road,Wide,,9.7,{}
Brooks Glycerin GTS 20,Stability,Low,Brooks,Balanced,Balanced,28.0,38.0,10.0,160.00,{Overpronation},2022,{Heel},Road,Medium,,10.5,"{Narrow, Standard, Wide}"
PUMA Deviate Nitro,Neutral,High,PUMA,Plush,Balanced,28.0,38.0,10.0,160.00,"{Supination, Underpronation, Neutral}",2021,{Heel},Road,Medium,,9.1,{Standard}
Brooks Trace,Neutral,High,Brooks,Plush,Semi-Flexible,,,10.5,100.00,"{Supination, Underpronation, Neutral}",2020,{Heel},Road,Medium,,9.2,{}
Altra Superior 5,Neutral,High,Altra,Balanced,Semi-Flexible,21.0,21.0,0.0,120.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot}",Trail,Wide,,8.8,{Standard}
Hoka Bondi X,Neutral,High,Hoka,Plush,Balanced,28.0,33.0,5.0,200.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot}",Road,Medium,,10.6,{Standard}
Saucony Cohesion 15,Neutral,High,Saucony,Balanced,Balanced,16.5,28.5,12.0,75.00,"{Supination, Underpronation, Neutral}",2022,{Heel},Road,Medium,,9.1,"{Standard, Wide}"
Nike Air Winflo 9,Neutral,High,Nike,Balanced,Balanced,,,,100.00,"{Supination, Underpronation, Neutral}",2022,{},Road,Medium,,9.9,{Standard}
Saucony Omni 20,Motion control,Low,Saucony,Balanced,Balanced,26.0,34.0,8.0,130.00,{Severe Overpronation},2021,"{Forefoot, Midfoot, Heel}",Road,Medium,,11.7,"{Standard, Wide}"
Under Armour Charged Assert 9,Neutral,High,Under Armour,Plush,Semi-Flexible,,,10.0,70.00,"{Supination, Underpronation, Neutral}",2021,{Heel},Road,Narrow,,9.9,"{Narrow, Standard, Wide, Extra Wide}"
Nike Air Zoom Vomero 16,Neutral,High,Nike,Plush,Semi-Flexible,18.5,29.5,10.0,150.00,"{Supination, Underpronation, Neutral}",2021,{Heel},Road,Wide,,10.5,{Standard}
ASICS Gel Excite 8,Neutral,High,ASICS,Firm,Balanced,,,10.5,75.00,"{Supination, Underpronation, Neutral}",2021,{Heel},Road,Wide,,9.9,{}
Hoka Clifton 7,Neutral,High,Hoka,Balanced,Balanced,24.0,29.0,5.0,130.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot}",Road,Medium,,8.7,"{Standard, Wide}"
ASICS MetaSpeed Sky,Neutral,High,ASICS,Balanced,Balanced,28.0,33.0,5.0,250.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot}",Road,Narrow,,7.0,{Standard}
Altra Olympus 5,Neutral,High,Altra,Balanced,Balanced,33.0,33.0,0.0,180.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Trail,Extra Wide,,12.3,{Standard}
ASICS Gel Contend 8,Neutral,High,ASICS,Balanced,Semi-Flexible,,,10.5,100.00,"{Supination, Underpronation, Neutral}",2023,{Heel},Road,Medium,,10.3,{}
Brooks Launch GTS 9,Stability,Low,Brooks,Balanced,Balanced,,,10.5,110.00,{Overpronation},2022,{Heel},Road,Wide,,8.7,{}
Merrell Moab Flight,Neutral,High,Merrell,Balanced,Balanced,19.0,29.0,10.0,110.00,"{Supination, Underpronation, Neutral}",2021,{Heel},Trail,Medium,,10.6,"{Standard, Wide}"
Altra Rivera 2,Neutral,High,Altra,Balanced,Semi-Flexible,26.0,26.0,0.0,130.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Road,Medium,,8.5,{Standard}
On Cloudrunner,Stability,Low,On,Firm,Balanced,19.5,28.5,9.0,140.00,{Overpronation},,{Heel},Road,Medium,,10.6,"{Standard, Wide}"
Saucony Kinvara 14,Neutral,High,Saucony,Firm,Semi-Flexible,27.0,31.0,4.0,120.00,"{Supination, Underpronation, Neutral}",2023,"{Forefoot, Midfoot, Heel}",Road,Narrow,,7.0,"{Standard, Wide}"
Nike Pegasus Trail 3 GTX,Neutral,High,Nike,Balanced,Balanced,26.0,36.0,10.0,160.00,"{Supination, Underpronation, Neutral}",2022,{Heel},Trail,Medium,Waterproof,10.9,{Standard}
Hoka Tecton X,Neutral,High,Hoka,Firm,Balanced,29.0,33.0,,200.00,"{Supination, Underpronation, Neutral}",2022,{},Trail,Medium,,8.9,{Standard}
Brooks Caldera 6,Neutral,High,Brooks,Balanced,Balanced,29.0,35.0,6.0,150.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Trail,Wide,,10.6,{Standard}
ASICS Noosa Tri 14,Neutral,High,ASICS,Balanced,Balanced,21.0,26.0,5.0,130.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Road,Medium,,9.2,{Standard}
Brooks Levitate Stealthfit 5,Neutral,High,Brooks,Plush,Balanced,21.0,29.0,8.0,150.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Road,Narrow,,9.8,{Standard}
ASICS Metaspeed Sky+,Neutral,High,ASICS,Balanced,Balanced,34.0,39.0,5.0,250.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Road,Narrow,,7.2,"{Standard, Wide}"
Mizuno Wave Rebellion,Neutral,High,Mizuno,Firm,Semi-Rigid,28.0,36.0,8.0,180.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Road,Medium,,9.1,{Standard}
Brooks Trace 2,Neutral,High,Brooks,Firm,Balanced,,,12.0,100.00,"{Supination, Underpronation, Neutral}",2023,{Heel},Road,Medium,,8.6,"{Standard, Wide}"
Reebok Floatride Energy 3,Neutral,High,Reebok,Balanced,Balanced,,,10.5,100.00,"{Supination, Underpronation, Neutral}",2021,{Heel},Road,Wide,,8.5,{}
Nike ZoomX Streakfly,Neutral,High,Nike,Plush,Flexible,26.0,32.0,6.0,160.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Road,Medium,,6.0,{Standard}
Altra Lone Peak 7,Neutral,High,Altra,Balanced,Semi-Flexible,25.0,25.0,0.0,150.00,"{Supination, Underpronation, Neutral}",2023,"{Forefoot, Midfoot}",Trail,Extra Wide,,11.0,"{Standard, Wide}"
Hoka Challenger 7,Neutral,High,Hoka,Plush,Semi-Rigid,26.0,31.0,5.0,145.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Trail,Narrow,,8.9,"{Standard, Wide}"
Mizuno Wave Rider 26,Neutral,High,Mizuno,Balanced,Semi-Flexible,,,10.5,140.00,"{Supination, Underpronation, Neutral}",2022,{Heel},Road,Medium,,10.0,{}
Salomon XT-6,Neutral,High,Salomon,Balanced,Balanced,,,,220.00,"{Supination, Underpronation, Neutral}",2020,{},Trail,Medium,,12.9,{Standard}
Adidas Solar Glide,Neutral,High,Adidas,Plush,Semi-Flexible,22.0,32.0,10.0,140.00,"{Supination, Underpronation, Neutral}",,{Heel},Road,Medium,,10.8,{Standard}
Brooks Glycerin 18,Neutral,High,Brooks,Plush,Semi-Flexible,21.0,31.0,10.0,150.00,"{Supination, Underpronation, Neutral}",2020,{Heel},Road,Medium,,10.2,"{Standard, Wide}"
Saucony Freedom 4,Neutral,High,Saucony,Balanced,Semi-Flexible,,,2.5,150.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot}",Road,Medium,,9.5,{}
New Balance FuelCell Rebel v2,Neutral,High,New Balance,Plush,Semi-Flexible,20.0,26.0,6.0,130.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Road,Medium,,7.4,"{Standard, Wide}"
New Balance Fresh Foam More,Neutral,High,New Balance,Plush,Semi-Flexible,26.0,30.0,4.0,160.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot}",Road,Medium,,10.3,"{Standard, Wide, Extra Wide}"
Nike Free RN Flyknit,Neutral,High,Nike,Firm,Flexible,16.0,24.0,8.0,130.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot, Heel}",Road,Medium,,7.6,{Standard}
Mizuno Wave Horizon 6,Stability,Low,Mizuno,Balanced,Semi-Rigid,,,6.5,170.00,{Overpronation},2022,"{Forefoot, Midfoot, Heel}",Road,Medium,,11.2,{}
Saucony Endorphin Elite,Neutral,High,Saucony,Balanced,Semi-Rigid,32.0,40.0,8.0,275.00,"{Supination, Underpronation, Neutral}",2023,"{Forefoot, Midfoot}",Road,Wide,,7.2,{Standard}
Adidas Adizero Boston 11,Neutral,High,Adidas,Firm,Rigid,31.0,39.5,8.5,160.00,"{Supination, Underpronation, Neutral}",2022,{Heel},Road,Wide,,9.6,"{Standard, Wide}"
Adidas Ultraboost 4.0 DNA,Neutral,High,Adidas,Plush,Balanced,12.0,22.0,10.0,180.00,"{Supination, Underpronation, Neutral}",2021,{Heel},Road,Medium,,11.0,{Standard}
Altra Paradigm 6.0,Stability,Low,Altra,Balanced,Balanced,30.0,30.0,0.0,160.00,{Overpronation},2021,"{Forefoot, Midfoot}",Road,Extra Wide,,10.8,{Standard}
PUMA Velocity Nitro,Neutral,High,PUMA,Firm,Semi-Flexible,24.0,32.0,8.0,120.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Road,Medium,,9.1,{Standard}
Nike Flex Experience Run 11,Neutral,High,Nike,Balanced,Semi-Flexible,,,,65.00,"{Supination, Underpronation, Neutral}",2022,{},Road,Medium,,8.4,{}
Brooks Levitate 4,Neutral,High,Brooks,Balanced,Semi-Flexible,19.0,27.0,8.0,150.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot, Heel}",Road,Narrow,,10.3,{Standard}
Brooks Catamount 2,Neutral,High,Brooks,Balanced,Balanced,23.0,29.0,6.0,170.00,"{Supination, Underpronation, Neutral}",2023,{},Trail,Medium,Water Repellent,9.7,{Standard}
Saucony Axon 2,Neutral,High,Saucony,Balanced,Balanced,31.0,35.0,4.0,100.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Road,Medium,,9.6,{Standard}
Saucony Peregrine 13,Neutral,,Saucony,Firm,Semi-Rigid,,,2.5,140.00,{},2023,"{Forefoot, Midfoot, Heel}",Trail,Narrow,,9.2,{}
ASICS GT 1000 11,Stability,Low,ASICS,Balanced,Semi-Flexible,12.0,20.0,8.0,100.00,{Overpronation},2022,"{Forefoot, Midfoot, Heel}",Road,Medium,,9.5,"{Standard, Wide, Extra Wide}"
Nike Epic React Flyknit,Neutral,High,Nike,Plush,Balanced,18.0,28.0,10.0,150.00,"{Supination, Underpronation, Neutral}",,{Heel},Road,Medium,,8.4,"{Narrow, Standard}"
ASICS Gel Kinsei Blast,Neutral,High,ASICS,Plush,Balanced,19.0,29.0,10.0,180.00,"{Supination, Underpronation, Neutral}",2021,{Heel},Road,,,11.9,{Standard}
ASICS GlideRide,Neutral,High,ASICS,Plush,Semi-Rigid,26.0,31.0,5.0,150.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot}",Road,Medium,,9.9,"{Narrow, Standard}"
Saucony Endorphin Shift 3,Neutral,High,Saucony,Balanced,Balanced,35.0,39.0,4.0,150.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Road,Medium,,9.4,"{Standard, Wide}"
Brooks Ghost 12,Neutral,High,Brooks,Plush,Semi-Flexible,19.0,31.0,12.0,130.00,"{Supination, Underpronation, Neutral}",2019,{Heel},Road,Medium,,10.4,"{Standard, Wide}"
ASICS Magic Speed 2,Neutral,High,ASICS,Balanced,Rigid,24.0,31.0,7.0,150.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Road,Medium,,8.1,"{Standard, Wide}"
Brooks Revel 6,Neutral,High,Brooks,Balanced,Balanced,,,10.0,100.00,"{Supination, Underpronation, Neutral}",2023,"{Forefoot, Midfoot, Heel}",Road,Medium,,8.8,{Standard}
ASICS GlideRide 3,Neutral,High,ASICS,Balanced,Balanced,35.0,40.0,5.0,150.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Road,Medium,,9.4,"{Standard, Wide}"
Saucony Peregrine 11,Neutral,High,Saucony,Balanced,Semi-Flexible,23.0,27.0,4.0,120.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot}",Trail,Medium,,10.9,"{Standard, Wide}"
Brooks Revel 4,Neutral,High,Brooks,Balanced,Semi-Flexible,19.0,27.0,8.0,100.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot, Heel}",Road,Medium,,8.0,"{Narrow, Standard}"
ASICS Gel Venture 7,Neutral,High,ASICS,Balanced,Balanced,,,10.0,70.00,"{Supination, Underpronation, Neutral}",2019,{Heel},Trail,Medium,,10.7,"{Standard, Extra Wide}"
Adidas Fluidflow 2.0,Neutral,High,Adidas,Plush,,,,,80.00,"{Supination, Underpronation, Neutral}",2021,{},Road,Wide,,11.0,{Standard}
Adidas Adizero Prime X,Neutral,High,Adidas,Plush,Semi-Flexible,40.0,50.0,10.0,250.00,"{Supination, Underpronation, Neutral}",2021,{Heel},Road,Medium,,9.6,{Standard}
Saucony Hurricane 23,Stability,Low,Saucony,Plush,,25.5,33.5,8.0,160.00,{Overpronation},2021,"{Forefoot, Midfoot, Heel}",Road,Medium,,11.4,"{Standard, Wide}"
Nike Renew Run,Neutral,High,Nike,Plush,Semi-Flexible,,,,90.00,"{Supination, Underpronation, Neutral}",2019,{},Road,Medium,,12.0,{}
Adidas 4D Fusio,Stability,Low,Adidas,Plush,Semi-Flexible,,,,200.00,{Overpronation},2021,{},Road,Medium,,16.3,{}
New Balance Fresh Foam 860 v11,Stability,Low,New Balance,Firm,Semi-Flexible,,,10.5,130.00,{Overpronation},2020,{Heel},Road,Medium,,9.7,{}
On Cloud Terry,Neutral,High,On,Plush,Semi-Flexible,,,6.0,150.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot, Heel}",Road,Medium,,8.3,{Standard}
Saucony Triumph 18,Neutral,High,Saucony,Plush,Semi-Flexible,25.0,33.0,8.0,150.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot, Heel}",Road,Medium,,11.1,"{Standard, Wide}"
Brooks Hyperion Elite 2,Neutral,High,Brooks,Plush,Semi-Rigid,27.0,35.0,8.0,250.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot, Heel}",Road,Medium,,7.6,{Standard}
Adidas EQ21,Neutral,High,Adidas,Plush,,,,10.5,80.00,"{Supination, Underpronation, Neutral}",2021,{Heel},Road,Medium,,10.3,{Standard}
Altra Escalante 3,Neutral,High,Altra,Balanced,Balanced,26.0,26.0,0.0,140.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Road,Extra Wide,,7.7,{Standard}
ASICS GT 2000 11,Stability,Low,ASICS,Balanced,Semi-Flexible,27.0,35.0,8.0,140.00,{Overpronation},2023,"{Forefoot, Midfoot, Heel}",Road,Medium,,9.7,"{Standard, Wide, Extra Wide}"
APL Streamline,Neutral,High,APL,Balanced,Semi-Rigid,22.0,30.0,8.0,300.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Road,Narrow,,9.2,{Standard}
New Balance Fresh Foam X 1080 v12,Neutral,High,New Balance,Balanced,Balanced,26.0,34.0,8.0,160.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Road,Wide,,10.3,"{Narrow, Standard, Wide, Extra Wide}"
Salomon Pulsar Trail Pro,Neutral,High,Salomon,Balanced,Semi-Rigid,25.0,31.0,6.0,150.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Trail,Wide,,9.5,{Standard}
Salomon Sense Ride 5,Neutral,,Salomon,Balanced,Semi-Rigid,21.3,29.6,8.3,140.00,{},2023,"{Forefoot, Midfoot, Heel}",Trail,Narrow,,10.1,{Standard}
Reebok Floatride Energy 4,Neutral,High,Reebok,Plush,Balanced,17.0,26.0,9.0,110.00,"{Supination, Underpronation, Neutral}",2022,{Heel},Road,Wide,,8.4,{Standard}
ASICS Noosa Tri 13,Neutral,High,ASICS,Balanced,Semi-Flexible,,,6.5,130.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot}",Road,Medium,,7.9,{}
Adidas Adizero Pro,Neutral,High,Adidas,Firm,Semi-Rigid,22.0,32.0,10.0,180.00,"{Supination, Underpronation, Neutral}",2020,{Heel},Road,Medium,,8.3,{Standard}
Nike Epic React Flyknit 2,Neutral,High,Nike,Balanced,Semi-Flexible,18.0,28.0,10.0,150.00,"{Supination, Underpronation, Neutral}",2019,{Heel},Road,Medium,,8.4,"{Standard, Wide}"
Mizuno Wave Sky 5,Neutral,High,Mizuno,Balanced,Semi-Flexible,29.0,37.0,8.0,170.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Road,Medium,,10.9,"{Standard, Wide}"
Nike Zoom Fly,Neutral,High,Nike,Balanced,Semi-Rigid,23.0,33.0,10.0,150.00,"{Supination, Underpronation, Neutral}",,{Heel},Road,Narrow,,8.7,{Standard}
Nike Epic Phantom React Flyknit,Neutral,High,Nike,Balanced,Semi-Flexible,18.0,28.0,10.0,150.00,"{Supination, Underpronation, Neutral}",2019,{},Road,Medium,,8.7,{Standard}
ASICS Gel Kayano 26,Stability,Low,ASICS,Balanced,Balanced,19.0,29.0,10.0,160.00,{Overpronation},2019,{Heel},Road,Medium,,11.1,"{Standard, Wide, Extra Wide}"
Altra Outroad,Neutral,High,Altra,Balanced,Balanced,27.0,27.0,0.0,140.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Trail,Medium,,10.7,{Standard}
Saucony Freedom 5,Neutral,High,Saucony,Firm,Balanced,23.0,27.0,4.0,150.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Road,Medium,,8.4,{Standard}
Salomon XA Pro 3D V8,Stability,Low,Salomon,Firm,Semi-Rigid,17.0,28.0,11.0,130.00,{Overpronation},2020,{Heel},Trail,Medium,,12.0,"{Standard, Wide}"
Adidas Terrex Speed Ultra,Neutral,High,Adidas,Balanced,Balanced,18.0,26.0,8.0,160.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot}",Trail,Medium,,9.0,{Standard}
Saucony Ride 13,Neutral,High,Saucony,Balanced,Semi-Flexible,,,6.5,130.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot, Heel}",Road,Medium,,9.7,{}
Under Armour HOVR Sonic 4,Neutral,High,Under Armour,,,,,6.5,110.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Road,,,9.9,{}
ASICS Gel Nimbus 22,Neutral,High,ASICS,Plush,Balanced,15.0,25.0,10.0,150.00,"{Supination, Underpronation, Neutral}",2019,{Heel},Road,Wide,,10.9,"{Standard, Wide}"
ASICS Gel Venture 6,Neutral,High,ASICS,Plush,Semi-Flexible,10.0,20.0,10.0,70.00,"{Supination, Underpronation, Neutral}",,{Heel},Trail,Medium,,11.2,"{Standard, Wide, Extra Wide}"
Brooks Glycerin Stealthfit 20,Neutral,High,Brooks,Balanced,Balanced,24.0,34.0,10.0,160.00,"{Supination, Underpronation, Neutral}",2022,{Heel},Road,Medium,,9.4,{Standard}
Saucony Ride 16,Neutral,,Saucony,Firm,Semi-Flexible,27.0,35.0,8.0,140.00,{},2023,"{Forefoot, Midfoot, Heel}",Road,Wide,,8.8,"{Standard, Wide}"
On Cloudace,Stability,Low,On,Balanced,Balanced,23.0,30.0,7.0,200.00,{Overpronation},,"{Forefoot, Midfoot, Heel}",Road,Medium,,11.8,{Standard}
Brooks Glycerin GTS 19,Stability,Low,Brooks,Plush,Semi-Flexible,21.0,31.0,10.0,150.00,{Overpronation},2021,{Heel},Road,Wide,,10.7,"{Standard, Wide}"
Under Armour HOVR Phantom 2,Neutral,High,Under Armour,Balanced,Semi-Flexible,16.5,26.5,10.0,150.00,"{Supination, Underpronation, Neutral}",2020,{Heel},Road,Medium,,11.5,{Standard}
ASICS GT 2000 9,Stability,Low,ASICS,Balanced,Semi-Flexible,12.0,22.0,10.0,120.00,{Overpronation},2020,{Heel},Road,Medium,,9.9,"{Standard, Wide, Extra Wide}"
Inov-8 Terraultra G 270,Neutral,High,Inov-8,Plush,Balanced,12.0,12.0,0.0,160.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot}",Trail,Wide,,9.5,"{Standard, Wide}"
Altra Rivera 3,Neutral,,Altra,Plush,Semi-Flexible,28.0,28.0,0.0,140.00,{},2023,{},Road,Wide,,9.8,{Standard}
On Cloudflow 3.0,Neutral,High,On,Firm,Balanced,24.0,30.0,6.0,140.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Road,Narrow,,8.7,"{Standard, Wide}"
ASICS GT 1000 10,Stability,Low,ASICS,Firm,Balanced,,,9.0,100.00,{Overpronation},2021,{Heel},Road,Wide,,9.9,"{Narrow, Standard, Wide, Extra Wide}"
ASICS Gel Quantum 180,Neutral,High,ASICS,Plush,Semi-Flexible,12.0,22.0,10.0,130.00,"{Supination, Underpronation, Neutral}",,{Heel},Road,Medium,,11.4,"{Narrow, Standard}"
Adidas 4D,Neutral,High,Adidas,Balanced,Semi-Rigid,,,,200.00,"{Supination, Underpronation, Neutral}",2022,{},Road,Narrow,,,{}
Salomon Speedcross 5 GTX,Neutral,High,Salomon,Plush,Semi-Flexible,20.0,30.0,10.0,150.00,"{Supination, Underpronation, Neutral}",2019,{Heel},Trail,Medium,Waterproof,12.0,{Standard}
Hoka Stinson ATR 6,Neutral,High,Hoka,Plush,,34.0,39.0,5.0,160.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot}",Trail,Wide,,11.7,{Standard}
Saucony Axon,Neutral,High,Saucony,Balanced,Semi-Rigid,31.0,35.0,4.0,100.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot}",Road,Medium,,9.3,{Standard}
Hoka Clifton Edge,Neutral,High,Hoka,Plush,Semi-Flexible,28.0,33.0,5.0,160.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot}",Road,Medium,,8.9,{Standard}
Nike React Pegasus Trail 4 GTX,Neutral,High,Nike,Balanced,Semi-Flexible,26.0,36.0,10.0,160.00,"{Supination, Underpronation, Neutral}",,{},Trail,Wide,Waterproof,,{Standard}
Saucony Guide 13,Stability,Low,Saucony,Balanced,Semi-Flexible,,,6.5,120.00,{Overpronation},2019,"{Forefoot, Midfoot, Heel}",Road,Medium,,10.2,{}
Altra VIA Olympus,Neutral,High,Altra,Balanced,Rigid,33.0,33.0,0.0,170.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Road,Extra Wide,,11.0,{Standard}
Brooks Levitate GTS 5,Stability,Low,Brooks,Plush,,21.0,29.0,,150.00,{Overpronation},2021,"{Forefoot, Midfoot, Heel}",Road,,,9.8,{Standard}
Nike Quest 4,Neutral,High,Nike,Balanced,Semi-Flexible,,,,75.00,"{Supination, Underpronation, Neutral}",2021,{},Road,Medium,,9.5,"{Standard, Extra Wide}"
Nike Air Zoom Tempo Next%,Neutral,High,Nike,Plush,Semi-Flexible,36.0,46.0,10.0,200.00,"{Supination, Underpronation, Neutral}",2020,{Heel},Road,Medium,,9.3,{Standard}
Nike Air Zoom Pegasus 36,Neutral,High,Nike,Balanced,Semi-Flexible,18.0,28.0,10.0,120.00,"{Supination, Underpronation, Neutral}",2019,{Heel},Road,Medium,,10.0,"{Standard, Wide, Extra Wide}"
Altra Provision 7,Stability,Low,Altra,Firm,Balanced,28.0,28.0,0.0,140.00,{Overpronation},2023,"{Forefoot, Midfoot, Heel}",Road,Wide,,9.7,{Standard}
ASICS Gel Quantum 90,Neutral,High,ASICS,Plush,Semi-Flexible,12.0,22.0,10.0,90.00,"{Supination, Underpronation, Neutral}",2019,{Heel},Road,Narrow,,8.4,"{Narrow, Standard}"
On Cloudvista,Neutral,High,On,Balanced,Balanced,,,7.0,140.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Trail,Narrow,,9.9,{Standard}
Brooks Revel,Neutral,High,Brooks,Balanced,Semi-Flexible,19.0,30.0,11.0,100.00,"{Supination, Underpronation, Neutral}",,{Heel},Road,Wide,,10.3,{Standard}
Brooks Beast '20,Motion control,Low,Brooks,Balanced,Rigid,26.0,38.0,12.0,160.00,{Severe Overpronation},2020,{Heel},Road,Medium,,11.7,"{Standard, Wide, Extra Wide}"
Saucony Echelon 9,Neutral,High,Saucony,Balanced,Balanced,27.0,35.0,8.0,150.00,"{Supination, Underpronation, Neutral}",2023,"{Forefoot, Midfoot, Heel}",Road,Wide,,10.3,"{Standard, Wide, Extra Wide}"
Under Armour HOVR Infinite 3,Neutral,High,Under Armour,Plush,,,,6.5,120.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Road,Wide,,10.7,{}
Salomon Speedcross 3,Neutral,High,Salomon,Firm,Balanced,9.0,20.0,11.0,130.00,"{Supination, Underpronation, Neutral}",,{Heel},Trail,Medium,,10.9,{Standard}
Adidas Adizero Adios Pro,Neutral,High,Adidas,Balanced,Semi-Rigid,31.5,39.0,8.5,200.00,"{Supination, Underpronation, Neutral}",2020,{Heel},Road,Medium,,8.0,{Standard}
On Cloudflyer 4,Stability,Low,On,Firm,,18.0,29.0,11.0,170.00,{Overpronation},2022,{},Road,Medium,,10.6,"{Standard, Wide}"
Hoka Speedgoat 4,Neutral,High,Hoka,Firm,Rigid,28.0,32.0,4.0,145.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot}",Trail,Medium,,10.8,"{Standard, Wide}"
ASICS Gel Cumulus 22,Neutral,High,ASICS,Balanced,Semi-Flexible,21.0,31.0,10.0,120.00,"{Supination, Underpronation, Neutral}",2020,{Heel},Road,Medium,,9.2,"{Standard, Wide}"
Nike ZoomX Zegama Trail,Neutral,High,Nike,Balanced,Semi-Flexible,33.0,37.0,4.0,160.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Trail,Medium,,,{Standard}
